"title","seq","qid","qurl","qlabel","qcountry","qdescr"
"Ato Institucional n° 1","","","","","",""
"Ato Institucional n° 2","0","Q3600957","http://www.wikidata.org/entity/Q3600957","Institutional Act Number Two","Q155",""
"Ato Institucional no 1","0","Q3600961","http://www.wikidata.org/entity/Q3600961","Institutional Act Number One","Q155",""
"Ato Institucional nº 10","","","","","",""
"Ato Institucional nº 12","","","","","",""
"Ato Institucional nº 13","","","","","",""
"Ato Institucional nº 14","","","","","",""
"Ato Institucional nº 16","","","","","",""
"Ato Institucional nº 17","","","","","",""
"Ato Institucional no 2","","","","","",""
"Ato Institucional nº 2","","","","","",""
"Ato Institucional nº 3","","","","","",""
"Ato Institucional nº 4","","","","","",""
"Ato Institucional no 5","0","Q2642410","http://www.wikidata.org/entity/Q2642410","AI-5","Q155","1968 legislation by the Brazilian military government"
"Ato Institucional Nº 5","0","Q2642410","http://www.wikidata.org/entity/Q2642410","AI-5","Q155","1968 legislation by the Brazilian military government"
"Ato Institucional nº 6","","","","","",""
"Ato Institucional nº 8","","","","","",""
"Ato Institucional nº 9","","","","","",""
"Ato Institucional nº1","","","","","",""
"Ato nº 1/73 da Câmara dos Deputados","","","","","",""
"Ato nº 706 da diretoria geral do Senado","","","","","",""
"Ato nº 9/95","","","","","",""
"Ato pela Revogação da Lei de Segurança","","","","","",""
"Auxílio-Gás","0","Q16495457","http://www.wikidata.org/entity/Q16495457","Auxílio-gás","Q155",""
"Avaliação dos Cursos de Graduação","","","","","",""
"Bolsa-Alimentação","","","","","",""
"Bolsa-Escola","0","Q9660685","http://www.wikidata.org/entity/Q9660685","Bolsa-escola","Q155",""
"Bolsa-Escola","1","Q110708263","http://www.wikidata.org/entity/Q110708263","Bolsa Escola: breaking the cycle of poverty, child labour and school disaffection in Brazil","","scientific article"
"Bolsa-Família","0","Q575545","http://www.wikidata.org/entity/Q575545","Bolsa Família","Q155","government social welfare program in Brazil"
"Bolsa-Família","1","Q101567378","http://www.wikidata.org/entity/Q101567378","Bolsa Família program and incomplete childhood vaccination in two Brazilian cohorts","","scientific article published on 23 October 2020"
"Bolsa-Família","2","Q87277506","http://www.wikidata.org/entity/Q87277506","Bolsa Familia: reaching Brazil's poorest of the poor","","scientific article published on 01 September 2013"
"Campanha Nacional das Escolas da Comunidade","0","Q16143163","http://www.wikidata.org/entity/Q16143163","Campanha Nacional das Escolas da Comunidade","Q155",""
"Capacitação de agentes públicos e sociais","","","","","",""
"Capacitação de Combate","","","","","",""
"Carta Cidadã","","","","","",""
"Carta Constitucional","0","Q355503","http://www.wikidata.org/entity/Q355503","Charter of 1826","Q45",""
"Carta Constitucional","1","Q2961185","http://www.wikidata.org/entity/Q2961185","Charte constitutionnelle","","Wikimedia disambiguation page"
"Carta Constitucional","2","Q109423386","http://www.wikidata.org/entity/Q109423386","Carta constitucional del 14 de agosto de 1830","",""
"Carta da OEA","0","Q2961211","http://www.wikidata.org/entity/Q2961211","Charter of the Organization of American States","","1948 Pan-American treaty"
"Carta da Organização dos Estados Americanos","0","Q2961211","http://www.wikidata.org/entity/Q2961211","Charter of the Organization of American States","","1948 Pan-American treaty"
"Carta da Paz Social","","","","","",""
"Carta da Terra","0","Q871256","http://www.wikidata.org/entity/Q871256","Earth Charter","","United Nations document"
"Carta das Mulheres aos Constituintes","","","","","",""
"Carta das Nações Unidas","0","Q171328","http://www.wikidata.org/entity/Q171328","Charter of the United Nations","","1945 foundational treaty of the United Nations"
"Carta de 1824","","","","","",""
"Carta de 1891","","","","","",""
"Carta de 1934","","","","","",""
"Carta de 1937","","","","","",""
"Carta de 1946","","","","","",""
"Carta de 1967","","","","","",""
"Carta de 1969","","","","","",""
"Carta de 1988","","","","","",""
"Carta de Brasília","","","","","",""
"Carta de Crédito","0","Q191627","http://www.wikidata.org/entity/Q191627","letter of credit","","document issued by a financial institution"
"Carta de Crédito","1","Q9079572","http://www.wikidata.org/entity/Q9079572","standby letter of credit","",""
"Carta de Havana","0","Q56355291","http://www.wikidata.org/entity/Q56355291","Carta de Havana","",""
"Carta de Istambul","","","","","",""
"Carta de Lisboa","","","","","",""
"Carta de Londrina","","","","","",""
"Carta de Ouro Preto","","","","","",""
"Carta de Princípios Diretivos de Prevenção e Repressão ao Tráfico de Entorpecentes","","","","","",""
"Carta de Punta del Este","","","","","",""
"Carta de Recife","","","","","",""
"Carta de Salvador","0","Q19419679","http://www.wikidata.org/entity/Q19419679","Carta de Salvador Allende a Carlos Prats","",""
"Carta de São Bernardo","","","","","",""
"Carta de Teresópolis","","","","","",""
