"União Geral dos Trabalhadores (UGT)","11626","https://github.com/cpdoc/dhbb/blob/master/text/11626.text","2","Q1566912","http://www.wikidata.org/entity/Q1566912","Allgemeine Arbeiter-Union – Einheitsorganisation","Q183","German communist organisation"
"União Sindical Independente (USI)","11627","https://github.com/cpdoc/dhbb/blob/master/text/11627.text","","","","","",""
"VALOR ECONÔMICO","11628","https://github.com/cpdoc/dhbb/blob/master/text/11628.text","0","Q958931","http://www.wikidata.org/entity/Q958931","Valor Econômico","Q155","Brazilian newspaper"
"VALOR ECONÔMICO","11628","https://github.com/cpdoc/dhbb/blob/master/text/11628.text","1","Q426971","http://www.wikidata.org/entity/Q426971","Economic Value Added","","value of a firm's profit after deduction of capital costs"
"VALOR ECONÔMICO","11628","https://github.com/cpdoc/dhbb/blob/master/text/11628.text","2","Q868257","http://www.wikidata.org/entity/Q868257","economic value","","measure of the benefit provided by a good or service to an economic agent"
"Estatuto da Criança e do Adolescente","11644","https://github.com/cpdoc/dhbb/blob/master/text/11644.text","0","Q10275512","http://www.wikidata.org/entity/Q10275512","Child and Adolescent Statute","Q155",""
"Conselho Nacional de Justiça (CNJ)","11666","https://github.com/cpdoc/dhbb/blob/master/text/11666.text","0","Q3657314","http://www.wikidata.org/entity/Q3657314","National Justice Council","Q155","public institution that aims to improve the work of the Brazilian judicial system"
"Central Geral dos Trabalhadores (CGT)","11668","https://github.com/cpdoc/dhbb/blob/master/text/11668.text","0","Q9720125","http://www.wikidata.org/entity/Q9720125","Central Geral dos Trabalhadores do Brasil","Q155",""
"Democratas (DEM)","11671","https://github.com/cpdoc/dhbb/blob/master/text/11671.text","0","Q29552","http://www.wikidata.org/entity/Q29552","Democratic Party","Q30","American political party"
"Democratas (DEM)","11671","https://github.com/cpdoc/dhbb/blob/master/text/11671.text","1","Q1185830","http://www.wikidata.org/entity/Q1185830","Democrats","Q155","Political party in Brazil"
