"title","seq","qid","qurl","qlabel","qcountry","qdescr"
"Coligação","0","Q124964","http://www.wikidata.org/entity/Q124964","coalition","","group formed of people, factions, states, political parties, militaries, or other parties agree to work together, often temporarily, in a partnership to achieve a common goal"
"Coligação","1","Q1065320","http://www.wikidata.org/entity/Q1065320","Coalition","Q408","group of centre-right political parties in Australia"
"Coligação","2","Q222897","http://www.wikidata.org/entity/Q222897","SYRIZA","Q41","Greek centre-left political party"
"Coligação Acadêmica","","","","","",""
"Coligação Baiana","","","","","",""
"Coligação Católica Brasileira","","","","","",""
"Coligação da Redenção Democrática","","","","","",""
"Coligação Democrática","0","Q847504","http://www.wikidata.org/entity/Q847504","Democratic Coalition","Q28","Hungarian political party"
"Coligação Democrática","1","Q572998","http://www.wikidata.org/entity/Q572998","Democratic Unity Coalition","Q45","Portuguese political coalition"
"Coligação Democrática","2","Q7098627","http://www.wikidata.org/entity/Q7098627","Opposition Democratic Coalition","Q1039","political party of São Tomé and Príncipe"
"Coligação Democrática Autonomista","","","","","",""
"Coligação Democrática Cearense","","","","","",""
"Coligação Democrática de Alagoas","","","","","",""
"Coligação Democrática de Goiás","","","","","",""
"Coligação Democrática Fluminense","","","","","",""
"Coligação Democrática Nacionalista","","","","","",""
"Coligação Democrática Paraense","","","","","",""
"Coligação Democrática Paraibana","","","","","",""
"Coligação Democrática Parlamentar","","","","","",""
"Coligação Democrática Pernambucana","","","","","",""
"Coligação Democrática Piauiense","","","","","",""
"Coligação Democrática Radical","","","","","",""
"Coligação Democrática Republicana","","","","","",""
"Coligação Democrática Sergipana","","","","","",""
"Coligação Democrática Trabalhista","","","","","",""
"Coligação Democrática Trabalhista do Piauí","","","","","",""
"Coligação do Partido Republicano","","","","","",""
"Coligação do Partido Social Progressista","","","","","",""
"Coligação do Partido Trabalhista Brasileiro","","","","","",""
"Coligação do Tocantins","","","","","",""
"Coligação dos Independentes","","","","","",""
"Coligação dos Sindicatos","","","","","",""
"Coligação Eleitoral","","","","","",""
"Coligação Frente Comunidade","","","","","",""
"Coligação Janista","","","","","",""
"Coligação Libertadora","","","","","",""
"Coligação Lula Presidente","","","","","",""
"Coligação Movimento Democrático Progressista","","","","","",""
"Coligação Muda Brasil","","","","","",""
"Coligação Nacionalista Democrática","","","","","",""
"Coligação Nacionalista Libertadora","","","","","",""
"Coligação Oposicionista","","","","","",""
"Coligação Pernambuco Pode Mais","","","","","",""
"Coligação Povo Unido","","","","","",""
"Coligação Progressista Acreana","","","","","",""
"Coligação Proletária","","","","","",""
"Coligação Radical Socialista","","","","","",""
"Coligação Republicana","0","Q66738647","http://www.wikidata.org/entity/Q66738647","Coligação Republicana Resendense - PRB-PRP","Q155","Brazilian political coalition in Resende, Rio de Janeiro"
"Coligação Sertaneja","","","","","",""
"Coligação Trabalhista","0","Q66738658","http://www.wikidata.org/entity/Q66738658","Coligação Trabalhista por São Bernardo","Q155","Brazilian political coalition in São Bernardo do Campo, São Paulo"
"Coligação Trabalhista","1","Q66738656","http://www.wikidata.org/entity/Q66738656","Coligação Trabalhista Brasileira","Q155","Brazilian political coalition in Itaboraí, Rio de Janeiro"
"Coligação Trabalhista","2","Q66738657","http://www.wikidata.org/entity/Q66738657","Coligação Trabalhista Popular","Q155","Brazilian political coalition in Camaragibe, Pernambuco"
"Coligação Trabalhista Udeno-Popular","","","","","",""
"Coligação União","0","Q66738662","http://www.wikidata.org/entity/Q66738662","Coligação União","Q155","Brazilian political coalition in Araraquara, São Paulo"
"Coligação União","1","Q66738663","http://www.wikidata.org/entity/Q66738663","Coligação União Pelo Crato","Q155","Brazilian political coalition in Crato, Ceará"
"Coligação União","2","Q66738664","http://www.wikidata.org/entity/Q66738664","Coligação União por Abaete - PR/PRB","Q155","Brazilian political coalition in Abaetetuba, Pará"
"Coligação União do Ceará","","","","","",""
"Coligação Unidos Pelo Brasil","","","","","",""
"Coligação Voto Limpo","","","","","",""
"Comunista Brasileiro","","","","","",""
"Democrata","0","Q29552","http://www.wikidata.org/entity/Q29552","Democratic Party","Q30","American political party"
"Democrata","1","Q747910","http://www.wikidata.org/entity/Q747910","Democrats 66","Q55","social-liberal political party in the Netherlands"
"Democrata","2","Q209158","http://www.wikidata.org/entity/Q209158","Christian democracy","","Christian socioeconomic model"
"Democrata Cristão","0","Q209158","http://www.wikidata.org/entity/Q209158","Christian democracy","","Christian socioeconomic model"
"Democrático Social","","","","","",""
"Democrático Trabalhista","","","","","",""
"Esquerda Democrática","0","Q1128823","http://www.wikidata.org/entity/Q1128823","Democratic Left","Q41","Greek political party"
"Esquerda Democrática","1","Q10275318","http://www.wikidata.org/entity/Q10275318","Esquerda Democrática","Q155",""
"Esquerda Democrática","2","Q201478","http://www.wikidata.org/entity/Q201478","United Democratic Left","Q41","Greek political party (1951–1977)"
"FLN","0","Q204543","http://www.wikidata.org/entity/Q204543","National Liberation Front","Q262","political party in Algeria"
"FLN","1","Q17928815","http://www.wikidata.org/entity/Q17928815","FLNA","","protein-coding gene in the species Homo sapiens"
"FLN","2","Q539298","http://www.wikidata.org/entity/Q539298","Florianópolis International Airport","Q155","airport"
"Frente Ampla","0","Q1066799","http://www.wikidata.org/entity/Q1066799","Broad Front","Q77","Uruguayan left-wing political coalition"
"Frente Ampla","1","Q28469675","http://www.wikidata.org/entity/Q28469675","Broad Front","Q298","Chilean political coalition"
"Frente Ampla","2","Q10285915","http://www.wikidata.org/entity/Q10285915","Frente Ampla","Q155",""
"Frente Liberal","0","Q4345998","http://www.wikidata.org/entity/Q4345998","Liberal Front Party","Q155","extinct Brazilian political party"
"MDA","0","Q217","http://www.wikidata.org/entity/Q217","Moldova","Q217","country in Eastern Europe"
"MDA","1","Q849817","http://www.wikidata.org/entity/Q849817","IBM Monochrome Display Adapter","","computer display standard"
"MDA","2","Q3977267","http://www.wikidata.org/entity/Q3977267","Little Sisters of Our Lady of Sorrows","","Roman Catholic religious congregation for women"
"MDB","0","Q1322751","http://www.wikidata.org/entity/Q1322751","Democratic Movement Party","Q155","big tent political party in Brazil"
"MDB","1","Q3097751","http://www.wikidata.org/entity/Q3097751","Brazilian Democratic Movement","Q155","former Brazilian political party (1966–1980)"
"MDB","2","Q1939555","http://www.wikidata.org/entity/Q1939555","member of the German Bundestag","Q183","deputy of the German parliament"
"MDS","0","Q954625","http://www.wikidata.org/entity/Q954625","myelodysplastic syndrome","","diverse collection of blood-related medical conditions with ineffective production of the myeloid class of blood cells"
"MDS","1","Q10330416","http://www.wikidata.org/entity/Q10330416","Ministry of Social Development and Fight against Hunger","Q155","Brazilian ministry"
"MDS","2","Q54904819","http://www.wikidata.org/entity/Q54904819","MDS","","cell line"
"MPLA","0","Q28551","http://www.wikidata.org/entity/Q28551","People's Movement for the Liberation of Angola","Q916","political party in Angola"
"MPLA","1","Q16254101","http://www.wikidata.org/entity/Q16254101","Mountain Plains Library Association","Q30","library association in the Western United States"
"MPLA","2","Q23214584","http://www.wikidata.org/entity/Q23214584","Mpla","Q1008","watercourse in the Ivory Coast"
"NSDAP","0","Q7320","http://www.wikidata.org/entity/Q7320","Nazi Party","Q41304","far-right political party in Germany active between 1920 and 1945"
"NSDAP","1","Q166269","http://www.wikidata.org/entity/Q166269","NSDAP/AO","Q7318","Foreign Organization branch of the Nazi Party"
"NSDAP","2","Q640988","http://www.wikidata.org/entity/Q640988","Golden Party Badge","Q7318","special Nazi Party award for the first 100k party members"
"PAEG","0","Q21103278","http://www.wikidata.org/entity/Q21103278","Progestagen associated endometrial protein","","mammalian protein found in Homo sapiens"
"PAEG","1","Q49746036","http://www.wikidata.org/entity/Q49746036","Eagle Airport","Q30","airport in Alaska, United States of America"
"PAEG","2","Q18030336","http://www.wikidata.org/entity/Q18030336","PAEP","","protein-coding gene in the species Homo sapiens"
"PAN","0","Q851087","http://www.wikidata.org/entity/Q851087","National Action Party","Q96","Mexican political party"
"PAN","1","Q132582","http://www.wikidata.org/entity/Q132582","Pan","","Greek god of the mountain wilds, shepherds, flocks, rustic music, fertility, spring, and theatrical criticism, with the hindquarters, legs, and horns of a goat"
