"title","filename","verbete","seq","qid","qurl","qlabel","qcountry","qdescr"
"Gustavo Capanema","1049","https://github.com/cpdoc/dhbb/blob/master/text/1049.text","0","Q403084","http://www.wikidata.org/entity/Q403084","Gustavo Capanema","Q155","Brazilian politician (1900-1985)"
"Gustavo Capanema","1049","https://github.com/cpdoc/dhbb/blob/master/text/1049.text","1","Q2598551","http://www.wikidata.org/entity/Q2598551","Gustavo Capanema Palace","Q155","modernist office building in Rio de Janerio, Brazil"
"Francisco Vieira De Alencar","105","https://github.com/cpdoc/dhbb/blob/master/text/105.text","","","","","",""
"João Alberto Capiberibe","1050","https://github.com/cpdoc/dhbb/blob/master/text/1050.text","","","","","",""
"Raquel Capiberibe","1051","https://github.com/cpdoc/dhbb/blob/master/text/1051.text","0","Q16602113","http://www.wikidata.org/entity/Q16602113","Raquel Capiberibe","Q155","pedagogue and Brazilian politician, former federal deputy for Amapá"
"Davi Capistrano","1052","https://github.com/cpdoc/dhbb/blob/master/text/1052.text","0","Q10264381","http://www.wikidata.org/entity/Q10264381","David Capistrano da Costa Filho","Q155","Brazilian politician (1948-2000)"
"Orlando Carbonar","1053","https://github.com/cpdoc/dhbb/blob/master/text/1053.text","","","","","",""
"Carlos Da Carbrás","1054","https://github.com/cpdoc/dhbb/blob/master/text/1054.text","","","","","",""
"Ramón Cárcano","1055","https://github.com/cpdoc/dhbb/blob/master/text/1055.text","0","Q7290505","http://www.wikidata.org/entity/Q7290505","Ramón J. Cárcano","Q414","Argentine politician"
"Cardilho Filho, Joaquim","1056","https://github.com/cpdoc/dhbb/blob/master/text/1056.text","","","","","",""
"Elmano Cardim","1057","https://github.com/cpdoc/dhbb/blob/master/text/1057.text","0","Q12073","http://www.wikidata.org/entity/Q12073","Elmano Cardim","Q155","Brazilian journalist (1891-1979)"
"Carlos Cardinal","1058","https://github.com/cpdoc/dhbb/blob/master/text/1058.text","0","Q47011486","http://www.wikidata.org/entity/Q47011486","Carlos Cardinal","Q155","Brazilian politician"
"Carlos Cardinal","1058","https://github.com/cpdoc/dhbb/blob/master/text/1058.text","1","Q2254141","http://www.wikidata.org/entity/Q2254141","Carlos de Borja y Centellas","Q204920","Roman Catholic cardinal (1663-1733)"
"Cardoso Sobrinho, José","1059","https://github.com/cpdoc/dhbb/blob/master/text/1059.text","0","Q1709077","http://www.wikidata.org/entity/Q1709077","José Cardoso Sobrinho","Q155","Brazilian archbishop"
"José Cochrane De Alencar","106","https://github.com/cpdoc/dhbb/blob/master/text/106.text","0","Q1709116","http://www.wikidata.org/entity/Q1709116","José Cochrane de Alencar","Q183","Brazilian diplomat"
"Adauto Lúcio Cardoso","1060","https://github.com/cpdoc/dhbb/blob/master/text/1060.text","0","Q9582404","http://www.wikidata.org/entity/Q9582404","Adauto Lúcio Cardoso","Q155","Brazilian judge (1904-1974)"
"Adauto Lúcio Cardoso","1060","https://github.com/cpdoc/dhbb/blob/master/text/1060.text","1","Q116789749","http://www.wikidata.org/entity/Q116789749","Adauto Cardoso","","researcher"
"Alberto Cardoso","1061","https://github.com/cpdoc/dhbb/blob/master/text/1061.text","0","Q57009382","http://www.wikidata.org/entity/Q57009382","Alberto Cardoso","","researcher"
"Alberto Cardoso","1061","https://github.com/cpdoc/dhbb/blob/master/text/1061.text","1","Q25936171","http://www.wikidata.org/entity/Q25936171","Alberto Cardoso","Q45","Portuguese footballer"
"Alberto Cardoso","1061","https://github.com/cpdoc/dhbb/blob/master/text/1061.text","2","Q9594186","http://www.wikidata.org/entity/Q9594186","Alberto Cardoso de Aguiar","Q155","brazilian military, former minister of war"
"Alexandre Cardoso","1062","https://github.com/cpdoc/dhbb/blob/master/text/1062.text","0","Q9601937","http://www.wikidata.org/entity/Q9601937","Alexandre Cardoso","Q155","Brazilian physician and politician"
"Alexandre Cardoso","1062","https://github.com/cpdoc/dhbb/blob/master/text/1062.text","1","Q62075058","http://www.wikidata.org/entity/Q62075058","Alexandre Cardoso","","association football player"
"Alexandre Cardoso","1062","https://github.com/cpdoc/dhbb/blob/master/text/1062.text","2","Q89778571","http://www.wikidata.org/entity/Q89778571","Alexandre Cardoso","","electrical engineer and academic researcher"
"Álvaro Cardoso","1063","https://github.com/cpdoc/dhbb/blob/master/text/1063.text","0","Q8076675","http://www.wikidata.org/entity/Q8076675","Álvaro Cardoso","Q45","Portuguese footballer (1914-2004)"
"Álvaro Cardoso","1063","https://github.com/cpdoc/dhbb/blob/master/text/1063.text","1","Q48867596","http://www.wikidata.org/entity/Q48867596","Álvaro Cardoso","",""
"Álvaro Cardoso","1063","https://github.com/cpdoc/dhbb/blob/master/text/1063.text","2","Q8076676","http://www.wikidata.org/entity/Q8076676","Álvaro Cardoso Pereira","Q45","footballer"
"Augusto Inácio Do Espírito Santo Cardoso","1064","https://github.com/cpdoc/dhbb/blob/master/text/1064.text","0","Q16495224","http://www.wikidata.org/entity/Q16495224","Augusto Inácio do Espírito Santo Cardoso","Q155","Brazilian military, war minister in the first government Getúlio Vargas"
"Carlos Cardoso","1065","https://github.com/cpdoc/dhbb/blob/master/text/1065.text","0","Q968260","http://www.wikidata.org/entity/Q968260","Carlos Cardoso","Q1029","Mozambican journalist (1951-2000)"
"Carlos Cardoso","1065","https://github.com/cpdoc/dhbb/blob/master/text/1065.text","1","Q5041893","http://www.wikidata.org/entity/Q5041893","Carlos Cardoso","","Wikimedia disambiguation page"
"Carlos Cardoso","1065","https://github.com/cpdoc/dhbb/blob/master/text/1065.text","2","Q56350462","http://www.wikidata.org/entity/Q56350462","Carlos Cardoso","Q155","Brazilian writer"
"Ciro Do Espírito Santo Cardoso","1066","https://github.com/cpdoc/dhbb/blob/master/text/1066.text","0","Q9766533","http://www.wikidata.org/entity/Q9766533","Ciro do Espírito Santo Cardoso","Q155","brazilian military (1898-1979)"
"Clodomir Cardoso","1067","https://github.com/cpdoc/dhbb/blob/master/text/1067.text","0","Q9776977","http://www.wikidata.org/entity/Q9776977","Clodomir Cardoso","Q155","Brazilian politician"
"Dário Cardoso","1068","https://github.com/cpdoc/dhbb/blob/master/text/1068.text","","","","","",""
"Dirceu Cardoso","1069","https://github.com/cpdoc/dhbb/blob/master/text/1069.text","0","Q10266725","http://www.wikidata.org/entity/Q10266725","Dirceu Cardoso","Q155","Brazilian politician"
"Marcelo Alencar","107","https://github.com/cpdoc/dhbb/blob/master/text/107.text","","","","","",""
"Dulcídio Do Espírito Santo Cardoso","1070","https://github.com/cpdoc/dhbb/blob/master/text/1070.text","0","Q10269040","http://www.wikidata.org/entity/Q10269040","Dulcídio do Espírito Santo Cardoso","Q155","Brazilian politician (1896-1978)"
"Fausto Rivera Cardoso","1071","https://github.com/cpdoc/dhbb/blob/master/text/1071.text","","","","","",""
"Fernando Henrique Cardoso","1072","https://github.com/cpdoc/dhbb/blob/master/text/1072.text","0","Q230578","http://www.wikidata.org/entity/Q230578","Fernando Henrique Cardoso","Q155","President of Brazil from 1995 to 2002"
"Fernando Henrique Cardoso","1072","https://github.com/cpdoc/dhbb/blob/master/text/1072.text","1","Q59226859","http://www.wikidata.org/entity/Q59226859","Fernando Henrique Cardoso, o sociólogo e o político","",""
"Fernando Cardoso","1073","https://github.com/cpdoc/dhbb/blob/master/text/1073.text","0","Q10281288","http://www.wikidata.org/entity/Q10281288","Fernando Cardoso","Q155","Brazilian politician"
"Fernando Cardoso","1073","https://github.com/cpdoc/dhbb/blob/master/text/1073.text","1","Q4214825","http://www.wikidata.org/entity/Q4214825","Fernando Cardoso","","Wikimedia disambiguation page"
"Fernando Cardoso","1073","https://github.com/cpdoc/dhbb/blob/master/text/1073.text","2","Q10281286","http://www.wikidata.org/entity/Q10281286","Fernando Cardoso","Q45","Portuguese poet"
"Henrique Cardoso","1074","https://github.com/cpdoc/dhbb/blob/master/text/1074.text","0","Q59675157","http://www.wikidata.org/entity/Q59675157","Henrique J Cardoso","","researcher ORCID ID = 0000-0002-5750-2875"
"Abi-Ackel, Paulo","10745","https://github.com/cpdoc/dhbb/blob/master/text/10745.text","","","","","",""
"Carlos Abicalil","10746","https://github.com/cpdoc/dhbb/blob/master/text/10746.text","0","Q121818525","http://www.wikidata.org/entity/Q121818525","Carlos Abicalil","Q155","Brazilian politician"
"Marcos Abramo","10747","https://github.com/cpdoc/dhbb/blob/master/text/10747.text","","","","","",""
"Chico Abreu","10748","https://github.com/cpdoc/dhbb/blob/master/text/10748.text","","","","","",""
"Kátia Abreu","10749","https://github.com/cpdoc/dhbb/blob/master/text/10749.text","0","Q9018151","http://www.wikidata.org/entity/Q9018151","Kátia Abreu","Q155","Brazilian politician"
"Hunald Santaflor Cardoso","1075","https://github.com/cpdoc/dhbb/blob/master/text/1075.text","","","","","",""
"Luís Abílio","10750","https://github.com/cpdoc/dhbb/blob/master/text/10750.text","0","Q10321214","http://www.wikidata.org/entity/Q10321214","Luís Abílio de Sousa Neto","Q155","Brazilian politician"
"Luís Abílio","10750","https://github.com/cpdoc/dhbb/blob/master/text/10750.text","1","Q108737015","http://www.wikidata.org/entity/Q108737015","Luís Cacito","Q45",""
"Luís Abílio","10750","https://github.com/cpdoc/dhbb/blob/master/text/10750.text","2","Q997919","http://www.wikidata.org/entity/Q997919","Luis Abilio Sebastiani Aguirre","Q419","Peruvian catholic priest"
"Darci Accorsi","10751","https://github.com/cpdoc/dhbb/blob/master/text/10751.text","0","Q10264194","http://www.wikidata.org/entity/Q10264194","Darci Accorsi","Q155","Brazilian politician"
"Anderson Adauto","10752","https://github.com/cpdoc/dhbb/blob/master/text/10752.text","0","Q16336527","http://www.wikidata.org/entity/Q16336527","Anderson Adauto Pereira","Q155","Brazilian lawyer"
"Gerônimo Da Adefal","10753","https://github.com/cpdoc/dhbb/blob/master/text/10753.text","0","Q16940197","http://www.wikidata.org/entity/Q16940197","Gerônimo Ciqueira","Q155","Brazilian politician"
"Wanda Engel Aduan","10754","https://github.com/cpdoc/dhbb/blob/master/text/10754.text","","","","","",""
"Henrique Afonso","10755","https://github.com/cpdoc/dhbb/blob/master/text/10755.text","0","Q10294698","http://www.wikidata.org/entity/Q10294698","Henrique Afonso","Q155","Brazilian politician"
"Henrique Afonso","10755","https://github.com/cpdoc/dhbb/blob/master/text/10755.text","1","Q10294700","http://www.wikidata.org/entity/Q10294700","Henry of Portugal","","Infante and heir of Portugal"
"Henrique Afonso","10755","https://github.com/cpdoc/dhbb/blob/master/text/10755.text","2","Q10294702","http://www.wikidata.org/entity/Q10294702","Henrique Afonso da Silva Horta","Q45","Portuguese journalist (1920-2012)"
"Marcos Afonso","10756","https://github.com/cpdoc/dhbb/blob/master/text/10756.text","","","","","",""
"Geraldo Magela Agnelo","10757","https://github.com/cpdoc/dhbb/blob/master/text/10757.text","","","","","",""
"Frank Aguiar","10758","https://github.com/cpdoc/dhbb/blob/master/text/10758.text","0","Q10285517","http://www.wikidata.org/entity/Q10285517","Frank Aguiar","Q155","Brazilian musician, politician and composer"
"Frank Aguiar","10758","https://github.com/cpdoc/dhbb/blob/master/text/10758.text","1","Q64847567","http://www.wikidata.org/entity/Q64847567","Francineto Luz de Aguiar","Q155","politician from Brazil"
"Frank Aguiar","10758","https://github.com/cpdoc/dhbb/blob/master/text/10758.text","2","Q111843242","http://www.wikidata.org/entity/Q111843242","Frank Aguiar Ponce","Q241","Cuban radio executive, director of Radio Rebelde (2018-2021)"
"Jorge Alberto","10759","https://github.com/cpdoc/dhbb/blob/master/text/10759.text","0","Q55287340","http://www.wikidata.org/entity/Q55287340","Jorge Alberto","","male given name"
