lemma,poscode,surface
plano de reaparelhamento,3,plano de reaparelhamento
plano de recuperação econômica do estado,3,plano de recuperação econômica do estado
plano de recuperação econômico-rural da lavoura cacaueira (ceplac),3,"plano de recuperação econômico-rural da lavoura cacaueira,Ceplac"
plano de recuperação setorial (prs),3,"plano de recuperação setorial,PRS"
plano de recuperação da estrada de ferro do piauí,3,plano de recuperação da estrada de ferro do piauí
plano de recuperação do setor de energia elétrica (prs),3,"plano de recuperação do setor de energia elétrica,PRS"
plano de refinarias da petrobras,3,plano de refinarias da petrobras
plano de reforma agrária,3,plano de reforma agrária
plano de reorganização do ministério da educação e saúde,3,plano de reorganização do ministério da educação e saúde
plano de retenção,3,plano de retenção
plano de revitalização das ferrovias,3,plano de revitalização das ferrovias
plano de serviços e investimentos públicos,3,plano de serviços e investimentos públicos
plano de sindicalização rural,3,plano de sindicalização rural
plano de telecomunicações de minas gerais,3,plano de telecomunicações de minas gerais
plano de transformação do sistema eletrobrás,3,plano de transformação do sistema eletrobrás
plano de urbanização de fortaleza,3,plano de urbanização de fortaleza
plano de valorização,3,plano de valorização
plano de valorização econômica da amazônia,3,plano de valorização econômica da amazônia
plano de valorização econômica da amazônia (spvea),3,"plano de valorização econômica da amazônia,SPVEA"
plano de valorização da amazônia,3,plano de valorização da amazônia
plano de valorização da fronteira sudoeste do país,3,plano de valorização da fronteira sudoeste do país
plano de viação geral,3,plano de viação geral
plano de viação nacional,3,plano de viação nacional
plano de desenvolvimento integrado alto guaporé-jauru,3,plano de desenvolvimento integrado alto guaporé-jauru
plano de urbanização de goiânia,3,plano de urbanização de goiânia
plano diretor de desenvolvimento de londrina,3,plano diretor de desenvolvimento de londrina
plano do carvão,3,plano do carvão
plano do carvão nacional (cepcan),3,"plano do carvão nacional,Cepcan"
plano do álcool,3,plano do álcool
ato adicional,3,ato adicional
ato adicional nº 4,3,ato adicional nº 4
ato adicional nº 9,3,ato adicional nº 9
ato complementar,3,ato complementar
ato complementar nº 1,3,ato complementar nº 1
ato complementar nº 102,3,ato complementar nº 102
ato complementar nº 104,3,ato complementar nº 104
ato complementar nº 15,3,ato complementar nº 15
ato complementar nº 16,3,ato complementar nº 16
ato complementar nº 18,3,ato complementar nº 18
ato complementar nº 23,3,ato complementar nº 23
ato complementar nº 27,3,ato complementar nº 27
ato complementar nº 38,3,ato complementar nº 38
ato complementar nº 4,3,ato complementar nº 4
ato complementar nº 54,3,ato complementar nº 54
ato complementar nº 6,3,ato complementar nº 6
ato complementar nº 64,3,ato complementar nº 64
ato complementar nº 65,3,ato complementar nº 65
ato complementar nº 72,3,ato complementar nº 72
ato complementar nº 73,3,ato complementar nº 73
ato complementar nº 77,3,ato complementar nº 77
ato complementar nº 9,3,ato complementar nº 9
ato constitucional nº 1,3,ato constitucional nº 1
ato constitucional nº 38,3,ato constitucional nº 38
ato constitucional nº 5,3,ato constitucional nº 5
ato institucional,3,ato institucional
ato institucional nº 5,3,ato institucional nº 5
ato institucional nº1,3,ato institucional nº1
ato institucional no 1,3,ato institucional no 1
ato institucional no 2,3,ato institucional no 2
ato institucional no 5,3,ato institucional no 5
ato institucional n° 1,3,ato institucional n° 1
ato institucional nº 10,3,ato institucional nº 10
ato institucional nº 12,3,ato institucional nº 12
ato institucional nº 13,3,ato institucional nº 13
ato institucional nº 14,3,ato institucional nº 14
ato institucional nº 16,3,ato institucional nº 16
ato institucional nº 17,3,ato institucional nº 17
ato institucional n° 2,3,ato institucional n° 2
ato institucional nº 3,3,ato institucional nº 3
ato institucional nº 4,3,ato institucional nº 4
ato institucional nº 6,3,ato institucional nº 6
ato institucional nº 8,3,ato institucional nº 8
ato institucional nº 9,3,ato institucional nº 9
ato institucional nº 2,3,ato institucional nº 2
ato das disposições constitucionais provisórias,3,ato das disposições constitucionais provisórias
ato das disposições constitucionais transitórias,3,ato das disposições constitucionais transitórias
ato das disposições transitórias,3,ato das disposições transitórias
ato de assistência externa de 1961,3,ato de assistência externa de 1961
ato de não-proliferação nuclear de 1978,3,ato de não-proliferação nuclear de 1978
ato em defesa do emprego e salário,3,ato em defesa do emprego e salário
ato nº 1/73 da câmara dos deputados,3,ato nº 1/73 da câmara dos deputados
ato nº 706 da diretoria geral do senado,3,ato nº 706 da diretoria geral do senado
ato nº 9/95,3,ato nº 9/95
ato pela revogação da lei de segurança,3,ato pela revogação da lei de segurança
anteprojeto constitucional,3,anteprojeto constitucional
anteprojeto da carta magna,3,anteprojeto da carta magna
anteprojeto da comissão de sistematização,3,anteprojeto da comissão de sistematização
anteprojeto da comissão provisória,3,anteprojeto da comissão provisória
anteprojeto da comissão provisória de estudos constitucionais,3,anteprojeto da comissão provisória de estudos constitucionais
anteprojeto da consolidação das leis do trabalho,3,anteprojeto da consolidação das leis do trabalho
anteprojeto da constituição,3,anteprojeto da constituição
anteprojeto da legislação do petróleo,3,anteprojeto da legislação do petróleo
anteprojeto da lei de acidentes no trabalho,3,anteprojeto da lei de acidentes no trabalho
anteprojeto da lei de direitos autorais,3,anteprojeto da lei de direitos autorais
anteprojeto da lei de execuções penais,3,anteprojeto da lei de execuções penais
anteprojeto da lei de imprensa,3,anteprojeto da lei de imprensa
anteprojeto da lei de segurança nacional,3,anteprojeto da lei de segurança nacional
anteprojeto da lei de sindicalização e representação política das classes,3,anteprojeto da lei de sindicalização e representação política das classes
anteprojeto da lei orgânica da magistratura,3,anteprojeto da lei orgânica da magistratura
anteprojeto da nova carta,3,anteprojeto da nova carta
anteprojeto da nova carta constitucional,3,anteprojeto da nova carta constitucional
anteprojeto da nova constituição,3,anteprojeto da nova constituição
anteprojeto de clt,3,anteprojeto de clt
anteprojeto de código de processo civil,3,anteprojeto de código de processo civil
anteprojeto de código penal (1963),3,"anteprojeto de código penal,1963"
