lemma,poscode,surface
ministro (desenvolvimento urbano e meio ambiente),3,"min. desenv. urb. e meio ambiente,min. hab. urb. e meio amb.,ministro (desenvolvimento urbano e meio ambiente)"
"ministro (desenvolvimento, indústria e comércio)",3,"min. desenv. ind. com.,ministro do desenvolvimento, indústria e comércio,ministro (desenvolvimento, indústria e comércio)"
ministro (direitos humanos),3,"min. direitos humanos,ministro (direitos humanos)"
ministro (economia),3,"min. econ.,ministro (economia)"
ministro (educação),3,"ministro da educação,min. educ.,ministro (educação)"
ministro (esporte e turismo),3,"ministro do esporte e turismo,min. tur. e esp.,min. esporte,ministro (esporte e turismo)"
ministro (esportes),3,"min. esportes,min. extr. esportes,ministro (esportes)"
ministro (exército),3,"min. exérc.,ministro do exército,min. ex.,ministro (exército)"
ministro (fazenda),3,"ministro da fazenda,min. faz.,ministro (fazenda)"
ministro (gabinete militar da presidência da república),3,"min. gabinete militar,min. casa mil. pres. rep.,ministro (gabinete militar da presidência da república)"
ministro (gabinete de segurança institucional da presidência da república),3,"min. gab. seg. inst. pres. rep.,ministro (gabinete de segurança institucional da presidência da república)"
ministro (guerra),3,"min. guerra,ministro da guerra,ministro (guerra)"
ministro (indústria e comércio),3,"min. ind. e com.,ministro da indústria e comércio,min. ind. com.,ministro (indústria e comércio)"
"ministro (indústria, comércio e turismo)",3,"min. ind. com. e tur.,ministro (indústria, comércio e turismo)"
"ministro (indústria, viação e obras públicas)",3,"min. ind. viação e obras públicas,min. ind. viação e obras públ.,ministro (indústria, viação e obras públicas)"
ministro (infraestrutura),3,"min. infraestrutura,ministro (infraestrutura)"
ministro (instrução pública),3,"min. instr. públ.,ministro (instrução pública)"
ministro (integração nacional),3,"min. integr.,ministro da integração nacional,ministro (integração nacional)"
ministro (interior),3,"ministro do interior,min. int.,min interior,ministro (interior)"
ministro (irrigação),3,"min. irrig.,min. ext. assuntos de irrigação,ministro (irrigação)"
ministro (justiça),3,"min. justiça,min. just.,ministro da justiça,ministro (justiça)"
ministro (marinha),3,"min. mar.,min. marinha,ministro da marinha,ministro (marinha)"
ministro (meio ambiente),3,"ministro do meio ambiente,min. meio amb. e amazônia legal,min. meio ambiente,ministro (meio ambiente)"
ministro (minas e energia),3,"min. minas e energia,ministro das minas e energia,min. minas e en.,ministro (minas e energia)"
ministro (negócios estrangeiros),3,"min. neg. estrang.,ministro (negócios estrangeiros)"
ministro (orçamento e gestão),3,"min.orçam.,min. orçam.,ministro (orçamento e gestão)"
ministro (pesca),3,"min. pesca,min. sec. especial de aquicultura e pesca,ministro (pesca)"
ministro (planejamento),3,"min. planej.,ministro do planejamento,min. ch. seplan,ministro (planejamento)"
ministro (política fundiária e desenvolvimento agrário),3,"min. extr. pol. fund. e desenv. agr.,min. pol. fund.,ministro (política fundiária e desenvolvimento agrário)"
ministro (portos),3,"min. sec. esp. portos,ministro (portos)"
ministro (previdência e assistência social),3,"min. prev. social,ministro da previdência e assistência social,min. previd.,ministro (previdência e assistência social)"
ministro (primeiro ministro),3,"primeiro ministro,prim.-min,ministro (primeiro ministro)"
ministro (projetos especiais),3,"min. proj. esp.,ministro (projetos especiais)"
ministro (reforma institucional),3,"min. extr. ref. inst.,ministro (reforma institucional)"
ministro (reforma e desenvolvimento agrário),3,"min. ref. agr.,min. ref. e desenv. agrário,ministro (reforma e desenvolvimento agrário)"
ministro (relações exteriores),3,"min. estrangeiros,min. rel. ext.,ministro das relações exteriores,ministro (relações exteriores)"
ministro (relações institucionais),3,"min. rel. inst.,ministro (relações institucionais)"
ministro (saúde),3,"min. saúde,ministro da saúde,ministro (saúde)"
ministro (secretaria especial de política para igualdade racial),3,"min.-ch. secr. esp. pol. prom. iguald. racial,ministro (secretaria especial de política para igualdade racial)"
