lemma,poscode,surface
Leorne Menescal Belem de Holanda,3,Leorne Menescal Belem de Holanda
Leovegildo Lins Gama Júnior,3,Leovegildo Lins Gama Júnior
Lery Santos,3,Lery Santos
Leslie L. Kotzebue,3,Leslie L. Kotzebue
Leszeck Bronislau Ostoja Roguski,3,Leszeck Bronislau Ostoja Roguski
Letícia Belo Neves,3,Letícia Belo Neves
Letícia Lacerda,3,Letícia Lacerda
Leur Antonio de Brito Lomanto,3,Leur Antonio de Brito Lomanto
Levi Fernandes Carneiro,3,Levi Fernandes Carneiro
Levi Goncalves Tavares,3,Levi Goncalves Tavares
Levi Meira,3,Levi Meira
Levi Neves,3,Levi Neves
Levi Santos,3,Levi Santos
Levindo Eduardo Coelho,3,Levindo Eduardo Coelho
Levindo Ozanan Coelho,3,Levindo Ozanan Coelho
Levy Aarão Reis,3,Levy Aarão Reis
Levy Gasparian,3,Levy Gasparian
Lewis Strauss,3,Lewis Strauss
Lezio Gomes Sathler,3,Lezio Gomes Sathler
Leôncio Amâncio Del Castillo,3,Leôncio Amâncio Del Castillo
Leôncio Correia,3,Leôncio Correia
Leônidas de Melo,3,Leônidas de Melo
Lho Shin Young,3,Lho Shin Young
Li Tieying,3,Li Tieying
Li Xian Nian,3,Li Xian Nian
Lia Salgado,3,Lia Salgado
Lia Simões Lopes Cohen,3,Lia Simões Lopes Cohen
Liane Brito Viana,3,Liane Brito Viana
Liberato Devito Neto,3,Liberato Devito Neto
Liberato da Cunha Friedrich,3,Liberato da Cunha Friedrich
Libino José dos Santos Pacheco,3,Libino José dos Santos Pacheco
Licio Proenca Borralho,3,Licio Proenca Borralho
Licio da Silva Hauer,3,Licio da Silva Hauer
Licurgo Costa,3,Licurgo Costa
Licurgo Leite Filho,3,Licurgo Leite Filho
Licurgo Leite,3,Licurgo Leite
Lidia Araujo Quinan,3,Lidia Araujo Quinan
Lidia de Carmona,3,Lidia de Carmona
Lidice da Mata E Sousa,3,Lidice da Mata E Sousa
Lidio Lunardi,3,Lidio Lunardi
Lidovino Antonio Fanton,3,Lidovino Antonio Fanton
Ligia Maria Lessa Bastos,3,Ligia Maria Lessa Bastos
Ligia Moelmann Doutel de Andrade,3,Ligia Moelmann Doutel de Andrade
Ligia Mora Stroessner,3,Ligia Mora Stroessner
Lila Byington Martins,3,Lila Byington Martins
Lila Covas,3,Lila Covas
Lilbourne C. Irvine,3,Lilbourne C. Irvine
Lilian Barreto,3,Lilian Barreto
Lilian Wite Fibe,3,Lilian Wite Fibe
Lily de Carvalho Marinho,3,Lily de Carvalho Marinho
Lima Barreto,3,Lima Barreto
Lima Brito,3,Lima Brito
Lima Campos,3,Lima Campos
Lima Cavalcanti,3,Lima Cavalcanti
Lima Câmara,3,Lima Câmara
Lima Duarte,3,Lima Duarte
Lincoln Mega,3,Lincoln Mega
Lincoln dos Santos Grillo,3,Lincoln dos Santos Grillo
Lincoln dos Santos Grilo,3,Lincoln dos Santos Grilo
Lindalva Martins,3,Lindalva Martins
Lindolfo Leopoldo Boekel Collor,3,Lindolfo Leopoldo Boekel Collor
Lindolfo Leopoldo Collor,3,Lindolfo Leopoldo Collor
Lindolpho Marcondes Ferreira,3,Lindolpho Marcondes Ferreira
Lineu Costa,3,Lineu Costa
Lineu de Paula Machado,3,Lineu de Paula Machado
Lino Rodrigues Machado,3,Lino Rodrigues Machado
Lino Teixeira,3,Lino Teixeira
Lino Zardo,3,Lino Zardo
Lino de Moraes Leme,3,Lino de Moraes Leme
Lino de Souza Valença,3,Lino de Souza Valença
Lins E Silva,3,Lins E Silva
Linscott Hall,3,Linscott Hall
Lio Stein Ferreira,3,Lio Stein Ferreira
Lionella de Lannoy,3,Lionella de Lannoy
Lira de Castro,3,Lira de Castro
Lisandro Vieira da Paixao,3,Lisandro Vieira da Paixao
Lisandro Vieira da Pixão,3,Lisandro Vieira da Pixão
Lisanias Dias Maciel,3,Lisanias Dias Maciel
Liszt de Sá Vieira,3,Liszt de Sá Vieira
Lisânias Maciel,3,Lisânias Maciel
Lloyd Axworthy,3,Lloyd Axworthy
Lobo da Costa,3,Lobo da Costa
Loiry Ross,3,Loiry Ross
Lopes Pontes,3,Lopes Pontes
Lopes da Cruz,3,Lopes da Cruz
Lopes de Almeida,3,Lopes de Almeida
Lopo Do Amazonas Alvarez da Silva de Castro,3,Lopo Do Amazonas Alvarez da Silva de Castro
Lopo de Carvalho Coelho,3,Lopo de Carvalho Coelho
Lorenza de Lannoy,3,Lorenza de Lannoy
Lorenzo Fernandes,3,Lorenzo Fernandes
Lorenzo Meza,3,Lorenzo Meza
Lorenzo Salazar,3,Lorenzo Salazar
Lorival Viana,3,Lorival Viana
Lothario Depee,3,Lothario Depee
Lotário Pabst,3,Lotário Pabst
Loudie Constantine,3,Loudie Constantine
Louis Althusser,3,Louis Althusser
Louis Armstrong,3,Louis Armstrong
Louis Barbillion,3,Louis Barbillion
Louis Sabourin,3,Louis Sabourin
Lourdes Camus,3,Lourdes Camus
Lourdes J. Noronha,3,Lourdes J. Noronha
Lourdes Maria,3,Lourdes Maria
Lourdes Rosemburgo,3,Lourdes Rosemburgo
Lourdes de Resende Tostes,3,Lourdes de Resende Tostes
Lourdinha Maciel,3,Lourdinha Maciel
Loureiro Lopes,3,Loureiro Lopes
Loureiro da Silva,3,Loureiro da Silva
Lourenzo Fernandez,3,Lourenzo Fernandez
Lourenço Abreu,3,Lourenço Abreu
Lourenço Barros Filho,3,Lourenço Barros Filho
Lourenço Ferreira Do Prado,3,Lourenço Ferreira Do Prado
Lourenço Filho,3,Lourenço Filho
Lourenço Lacombe,3,Lourenço Lacombe
Lourenço Simões Lopes,3,Lourenço Simões Lopes
Lourival Do Carmo Freitas,3,Lourival Do Carmo Freitas
Lourival Maciel,3,Lourival Maciel
Lowe Hayden Bibby,3,Lowe Hayden Bibby
Lu Fradique,3,Lu Fradique
Luca Daniele Biolato,3,Luca Daniele Biolato
Lucas Mendes,3,Lucas Mendes
Lucas Monteiro Machado,3,Lucas Monteiro Machado
Luce Churchill,3,Luce Churchill
Luci Junqueira,3,Luci Junqueira
Luci Nogueira Nunes Magalhães,3,Luci Nogueira Nunes Magalhães
Luci Teresinha Choinacki,3,Luci Teresinha Choinacki
Lucia Hippolito,3,Lucia Hippolito
Lucia Lage,3,Lucia Lage
Lucia Machado de Almeida,3,Lucia Machado de Almeida
Lucia Vania Abrao da Costa,3,Lucia Vania Abrao da Costa
Lucia de Souza Queiroz,3,Lucia de Souza Queiroz
Lucian Truscott,3,Lucian Truscott
Luciano Bertazzi,3,Luciano Bertazzi
Luciano Correia Machado,3,Luciano Correia Machado
Luciano Neves,3,Luciano Neves
Luciano Pereira Nunes,3,Luciano Pereira Nunes
Luciano Rezende,3,Luciano Rezende
Luciano de Sousa Castro,3,Luciano de Sousa Castro
Lucie Grandmasson,3,Lucie Grandmasson
Lucilia Moraes,3,Lucilia Moraes
Lucilo Frederico,3,Lucilo Frederico
