Delgado	1
Deliberar	2
Delinear	1
Delsar	1
Deltar	1
Demarcar	1
Demitir	1
Democráticar	2
Demonstrar	2
Denunciar	3
Deparar	2
Deplorar	1
Depor	8
Deportar	3
Depreender	1
Depuser	1
Deputar	4
Derivar	2
Derrotar	4
Derrubar	2
Desaconselhar	2
Desafiar	1
Desagradar	1
Desanimar	3
Desapontar	4
Desaprovar	1
Desarticular	6
Desativar	1
Desautorizar	1
Desbaratar	1
Desburocratizar	1
Descartar	8
Descender	2
Descer	1
Descobrir	1
Descompatibilizar	1
Descomprometer	1
Desconfiar	3
Desconsiderar	5
Descontar	1
Descontentar	1
Descredenciar	2
Descumprir	1
Desejar	6
Desempenhar	1
Desencadear	9
Desencantar	2
Desenrolar	1
Desentender	5
Desenvolver	2
Desestabilizar	1
Desfalcar	1
Desfechar	4
Desfeitar	2
Desfiliar	10
Desfraldar	1
Desgastar	6
Designar	4
Desiluder	1
Desincompatibilizar	55
Desinteressar	2
Desistir	9
Desligar	74
Desligousar	1
Deslumbrar	1
Desmembrar	1
Desmenter	1
Desmentir	2
Desmobilizar	1
Desobedecer	2
Desolar	1
Desonerar	1
Despachar	2
Despeder	1
Despedir	1
Despejar	1
Despertar	4
Desperter	1
Despojar	1
Despoluir	1
Despontar	1
Desporrer	1
Desposar	1
Desprestigiar	2
Desquitar	4
Destacar	18
Destinar	6
Destituir	6
Desvendar	2
Desviar	1
Desvincular	6
Deter	1
Deteriorar	1
Determinar	10
Dever	1
Devolver	1
Devotar	1
Diagnosticar	1
Diferenciar	2
Dilermar	1
Dilmar	1
Dinamitar	1
Dinamizar	1
Diplomar	184
Dir	1
Dircer	31
Direger	1
Diretor-ader	1
Dirigiar	1
Dirigir	9
Diríar	1
Discordar	59
Discorrer	2
Discursar	3
Discutir	13
Dispensar	1
Disponibilizar	1
Dispor	3
Disputar	22
Disser	1
Dissociar	2
Dissolver	8
Distanciar	3
Distinguir	7
Distribuir	1
Divergir	18
Diversificar	2
Diversíssimar	1
Divider	4
Divorciar	14
Divulgar	2
Dizíar	1
Djacir	1
Dnar	1
Dner	1
Doi	1
Domar	1
Dominar	2
Dotar	1
Dourar	1
Doutorar	3
Dr	1
Dutrar	28
Dér	1
Ebtr	1
Eclodir	3
Eder	1
Edgar	9
Edificar	2
Edir	1
Editar	7
Edmar	2
Educar	4
Efetivar	24
Efetuar	10
Einar	1
Eisenhower	2
Elaborar	30
Eldorar	3
Eleger	313
Elegir	1
Eleitar	1
Eletronuclear	6
Eliezer	2
Eliminar	1
Elogiadar	1
Elogiar	3
Elogiavar	2
Emanar	2
Embalar	1
Embarcar	12
Emborar	1
Emergir	1
Emigrar	1
Emitir	2
Empatar	1
Empenhar	24
Empolgar	2
Empossar	44
Empreender	6
Empregar	1
Em­possar	1
Enaltecer	3
Enalteciar	1
Encabeçar	3
Encaixar	1
Encaminhar	7
Encampar	40
Encarar	2
Encarecer	1
Encarregar	2
Encenar	1
Encerrar	10
Encontrar	19
Encorajar	2
Endereçar	2
Endividar	1
Endossar	7
Enfatizar	16
Enfraquecer	1
Enfurecer	1
Engajar	16
Engenhar	1
Englobar	2
Enquadrar	6
Enriquecer	1
Enser	1
Ensinar	1
Ensur	1
Entender	4
Entrarar	1
Entravar	1
Entregarar	1
Entretar	1
Entrincheirar	1
Entrosar	1
Enumerar	1
Enumerer	1
Enviado	5
Enviar	2
Envolver	12
Epsar	1
Equipar	1
Er	2
Erar	1
Ergar	1
Erigir	1
Erlir	1
Err	1
Erradicar	1
Errar	1
Esbarrar	1
Esboçar	1
Escaldar	1
Escapar	2
Escassear	1
Esclarecer	1
Esclarecidir	1
Escolher	1
Escorar	1
Escrever	1
Escudar	3
Esfolar	1
Esforçar	2
Esgotar	1
Esgotarar	1
Esmagar	3
Esmerar	1
Esmiuçar	1
Espalhar	1
Espar	2
Especializar	59
Especificar	1
Especular	2
Esquematizar	1
Essar	1
Estabelecer	3
Estabeleciar	1
Estagiar	11
Estampar	1
Estender	4
Estimar	6
Estimular	14
Estipular	3
Estrangular	1
Estranhar	2
Estrar	5
Estreitar	3
Estremecer	1
Estruturar	7
Estudar	10
Estur	12
Esvaziar	4
Etudar	1
Europer	1
Euvalr	1
Evidenciar	2
Evitar	1
Ex-repórter	1
Exaltar	2
Examinar	7
Exaur	1
Exaurer	1
Exceder	1
Excetuar	3
Execer	1
Executar	7
Exemplificar	1
Exercer	15
Exercerar	1
Exercerir	1
Exerciar	13
Exibir	3
Exigiar	1
Exigir	2
Exilar	14
Eximir	1
Existar	1
Exonerar	12
Exorcizar	1
Expedirar	1
Experimentar	1
Expirar	5
Explicar	1
Explicitar	1
Explorar	4
Expor	3
Expressar	4
Expropriar	1
Extinguir	11
Exumar	1
Facultar	1
Falar	2
Falc	1
Falecer	1
Falhar	1
Falir	1
Faltar	9
Fardar	1
Farquhar	2
Faríar	1
Favorecer	1
Façar	2
Feber	2
Fechar	4
Feconezr	1
Federalizar	1
Ferdinar	3
Fernar	2
Festejar	1
Ficar	2
Figurar	7
Filar	3
Filhar	1
Filiar	659
Finalizar	8
Financiar	3
Finar	1
Finr	1
Fir	21
Firmar	12
Fixar	23
Fixer	1
Fomentar	2
Forjar	1
Formalizar	7
Formar	37
Formular	9
Fortalecer	24
Fortalecir	1
Fortalezir	2
Fortificar	1
Forçar	1
Fournier	4
Fr	2
Fracassar	7
Francenilr	1
Frequentar	18
Freqüentar	37
Friboi	1
Frisar	2
Frustrar	18
Fugir	3
Funaber	1
Funcionar	13
Fundamentar	1
Fundir	3
Furtar	11
Fusar	1
Fustigar	1
Galvanizar	1
Gandir	1
Ganhar	3
Garanter	2
Garcer	1
Garrastazr	2
Gebar	2
General-de-brigar	10
Generalizar	1
Geralr	1
Gerenciar	1
Gesticular	1
Gibraltar	1
Gilbrir	2
Giocor	1
Goiânir	1
Golpear	1
Gouriar	2
Governar	3
Gozar	8
Gozarir	1
Graduar	156
Granimar	1
Gravar	1
Gravitar	1
Grer	3
Guajar	2
Guanabar	3
Guanabarar	1
Guandr	1
Guaranir	1
Guarda-marer	1
Guardar	1
Guaxumar	1
Guaçr	1
Guindar	1
Guir	3
Gumercir	1
Guzer	1
Habilitar	2
Habituar	1
Haciar	1
Hasslocher	2
Helar	1
Herdar	2
Heslander	2
Hildebrar	3
Hipotecar	1
Histerir	1
Hitler	1
Homenagear	1
Homer	1
Homologar	5
Hospedar	1
Hospitalizar	1
Hostilizar	3
Humait	1
Hurir	1
Hélder	6
Idealizar	5
Identificar	8
Ider	1
Igrar	1
Igreja-Estar	5
Iguaçr	9
Ilder	1
Imaginir	1
Imbricar	1
Imitar	1
Impeler	1
Impetrar	3
Implantar	11
Implementar	4
Implicar	1
Impor	1
Importávar	1
Impossibilitar	24
Impressionar	4
Imprimir	1
Impronunciar	1
Impugnar	1
Impulsionar	2
Inar	3
Inaugurar	3
Incentivar	17
Incitar	3
Incluer	4
Inclusar	1
Incluí	2
Incluíar	1
Incluír	7
Incomodar	2
Incompatibilizar	3
Inconformar	30
Incorporar	18
Incorr	2
Incrementar	1
Incumber	12
Indagar	17
Indefinir	1
Indicar	8
Indiciar	6
Indignado	6
Indiscriminar	1
Indispor	2
Inexistir	2
Inferir	1
Inflamar	1
Influenciar	1
Informar	3
Ingressar	828
Iniciar	183
Inocentar	2
Inquirir	2
Inscrever	2
Inserir	6
Insinuar	4
Insister	1
Insistir	2
Insistirar	1
Inspecionar	1
Inspirar	9
Instalar	4
Instar	3
Instaurar	1
Institucionalizar	1
Instituir	12
Instruir	3
Insurgir	1
Integrar	56
Intensificar	11
Intentar	1
Interessar	5
Interferir	1
Interparlamentar	1
Interpretar	1
Interrogar	1
Interromper	3
Intimar	6
Intimidar	1
Intitular	3
Intrigar	1
Introduzer	1
Introduzir	9
Inutilizar	1
Invadir	1
Inventar	1
Inverter	1
Investigar	1
Investir	1
Inviabilizar	10
Invocar	1
Iriner	5
Irradiar	1
Irritar	7
Irromper	7
Isolar	1
Itaipr	1
Itamar	1
Itapicurr	1
Itr	1
Ituaçr	1
J	2
Jaguar	3
Jaguaribir	1
Jair	4
Jandirar	1
Japur	1
Jaragu	1
Jornar	2
Jubiler	1
Juc	1
Juizar	1
Juker	1
Julgar	45
Juntar	2
Jur	1
Juracer	1
Juracir	1
Jurer	1
Jurisdicionar	1
Juru	1
Justificar	1
Kandir	1
Kapeller	1
Kar	2
Klinger	5
Konder	1
Krieger	1
L	30
Lacerdar	2
Ladear	1
Lafer	1
Lagear	1
Lajear	1
Lambar	1
Lamentazer	1
Lar	1
Laurear	1
Lecer	3
Lecionar	49
Legalizar	3
Leger	1
Legislativer	3
Leir	1
Lemar	1
Lembrar	1
Lembraríar	1
Lembrir	1
Lemer	3
Lemgruber	1
Leningrar	3
Ler	3
Lerer	1
Lesar	1
Lessar	1
Levantar	4
Levir	2
Leôner	1
Leônir	16
Liberar	2
Licenciar	179
Licer	1
Liderar	27
Limar	1
Limiar	1
Limitar	1
Liquidar	2
Livrar	3
Livrir	1
Logar	9
Lograr	10
Lotar	10
Louerer	1
Lousar	1
Ltdar	1
Luerer	2
Lular	5
Lur	2
Lustosar	1
Lutar	8
Lutzenberger	3
Luzer	2
Líder	1
Macap	1
Machar	13
Magoar	1
Mair	1
Malograr	2
Malsuceder	6
Malsucedir	1
Maltratar	1
Mameder	1
Mander	1
Manter	5
Mantinhar	2
Mantir	4
Mantiverar	1
Maquerer	2
Mar	1
Marchar	3
Maringar	1
Martelar	1
Matar	1
Matricular	63
Maximizar	1
Mecanizar	3
Mediar	1
Mencionar	3
Mer	1
Merecer	3
Mergulhar	1
Meunir	1
Mevitever	1
Migrar	10
Militar	21
Minar	2
Minimizar	1
Ministrar	6
Minorar	1
Miragir	1
Mirandar	1
Misturar	1
Mobilizar	12
Modelar	1
Modernizar	1
Modificar	7
Moedar	1
Montar	1
Monteirar	1
Montesquier	1
Montorar	1
Morder	1
Morrer	1
Mortar	1
Moscar	8
Mostrar	2
Mostrer	1
Motivar	1
Motomecanizar	1
Motorizar	1
Mour	1
Mover	1
Mtr	1
Mudar	3
Mutir	1
Mutsuhever	1
Médicir	5
Nader	1
Nair	1
Nascer	1
Navegar	2
Necessitar	5
Negociar	2
Negr	1
Nerer	22
Netumar	1
Niemeyer	5
Nirlar	1
Nomear	1
Nonôvotar	1
Normalizar	1
Nortear	1
Notabilizar	11
Notir	2
Noventar	1
Nuncar	1
Nutrir	2
Não-Alinhar	4
Néler	1
Obedecer	2
Objetivar	8
Obrir	1
Obserr	1
Observar	8
Observir	2
Obstaculizar	2
Obstar	1
Obstinar	3
Obter	2
Obtinhar	1
Obtiver	6
Ocorrer	2
Ocupar	1
Oferecer	1
Oficializar	6
Oglr	1
Oguir	1
Olhavar	1
Olimpíar	1
Omitir	1
Onr	2
Operar	4
Opinar	9
Optar	12
Opuser	1
Order	3
Orer	1
Orfer	1
Organizar	6
Organizer	1
Orientar	6
Originar	4
Orlar	5
Orçar	2
Oscar	22
Ostentar	1
Ottatir	1
Our	1
Ousar	1
Ouver	1
Ouvir	1
PFL-Parter	1
PL/Parter	1
PL–Parter	1
PMDB-Parter	2
PMDB/Parter	1
PPB-Parter	1
PPCerrar	1
PSB/Parter	1
PSD-PDC-UDN-Parter	1
PSDB/Parter	2
PT-Parter	1
PTN-Parter	1
Pacer	4
Pagar	1
Palmilhar	2
Paloccer	1
Panair	2
Pantojar	1
Papandrear	1
Paquetar	1
Par	10
Para-Sar	1
Parafrasear	1
Paraguair	2
Paraguaçr	3
Paralisar	2
Paran	3
Paranar	2
Parar	1
Pararar	1
Parir	1
Parlamentar	5
Participar	6
Partilhar	1
Partir	1
Passar	1
Paulistinhar	1
Pautar	9
Pazer	1
Pediar	1
Pelar	2
Pender	1
Pener	1
Pensar	2
Pentear	1
Perceber	16
Percorrer	6
Perguntar	1
Perilencopterar	1
Permanecer	75
Permaneciar	1
Pernoitar	1
Perr	4
Perseguir	2
Persistir	4
Personalizar	1
Pertencer	124
Pertenciar	1
Pertencir	1
Pesar	3
Petrolina-Teresinar	1
Pfeiffer	1
Piauir	1
Pilar	1
Pimentar	12
Pir	6
Pirambr	1
Planar	8
Plancher	1
Planejar	2
Planr	1
Pleitear	12
Pneumopelvigrafer	1
Poi	1
Polarizar	1
Polemizar	1
Polygrar	1
Pomar	3
Pomper	15
Pompidar	1
Ponderar	1
Popular	3
Portelar	1
Posar	2
Posicionar	31
Possuir	5
Postular	1
Potengir	1
Prar	7
Praticar	1
Preceder	1
Precipitar	2
Precisar	2
Preconizar	15
Predominar	2
Preencher	1
Prefaciar	1
Pregar	13
Prejudicar	2
Premer	3
Premiar	1
Premir	4
Preocupar	12
