lemma,poscode,surface
tumultos na cptm em 1996,3,tumultos na cptm em 1996
lutas e revoluções no brasil,3,lutas e revoluções no brasil
movimento separatista do norte (1821-23),3,movimento separatista do norte
aldeamentos missionários,3,aldeamentos missionários
revolta do vintém (paraná),3,revolta do vintém
revolta do vintém (rio de janeiro),3,revolta do vintém
o sul é o meu país,3,o sul é o meu país
plebisul,3,plebisul
república de pastos bons,3,república de pastos bons
república juliana,3,república juliana
república rio-grandense,3,república rio-grandense
"conjuração de ""nosso pai""",3,"conjuração de ""nosso pai"""
cerro do inhacurutum,3,cerro do inhacurutum
conjuração mineira (1789),3,conjuração mineira
conjuração carioca (1794),3,conjuração carioca
conjuração baiana (1796),3,conjuração baiana
"frança antártica - francesa, rio de janeiro (1555-1567)",3,"frança antártica - francesa, rio de janeiro"
"confederação dos tamoios - revolta indígena, rio de janeiro e são paulo (1556-1567)[2]",3,"confederação dos tamoios - revolta indígena, rio de janeiro e são paulo"
"guerra dos aimorés - índios contra luso-brasileiros, bahia (1555-1673)",3,"guerra dos aimorés - índios contra luso-brasileiros, bahia"
"guerra dos potiguares - índios contra luso-brasileiros, paraíba e rio grande do norte (1586-1599)",3,"guerra dos potiguares - índios contra luso-brasileiros, paraíba e rio grande do norte"
guerra de iguape - em virtude da interpretaçao do tratado de tordesilhas,3,guerra de iguape - em virtude da interpretaçao do tratado de tordesilhas
frança antártica,3,frança antártica
primeira guerra mundial (veja: brasil na primeira guerra mundial),3,primeira guerra mundial
segunda guerra mundial (veja: força expedicionária brasileira),3,segunda guerra mundial
operação power pack (ocupação americana da república dominicana (19651966),3,operação power pack
"bandeirantes, bugreiros, entradas e bandeiras",3,"bandeirantes, bugreiros, entradas e bandeiras"
frança equinocial,3,frança equinocial
presença neerlandesa no brasil,3,presença neerlandesa no brasil
revoltas liberais,3,revoltas liberais
república de cunani,3,república de cunani
"revolução de 1932, revolução constitucionalista de 1932",3,"revolução de 1932, revolução constitucionalista de 1932"
caldeirão de santa cruz do deserto,3,caldeirão de santa cruz do deserto
força expedicionária brasileira na segunda guerra mundial,3,força expedicionária brasileira na segunda guerra mundial
messianismo,3,messianismo
greves operárias,3,greves operárias
caras-pintadas,3,caras-pintadas
greves de 2007 em universidades públicas brasileiras,3,greves de 2007 em universidades públicas brasileiras
bom senso f.c.,3,bom senso f.c.
greve na puc-sp contra a nomeação da reitora anna cintra,3,greve na puc-sp contra a nomeação da reitora anna cintra
greve no ensino público federal do brasil em 2012,3,greve no ensino público federal do brasil em 2012
greve no ensino público federal do brasil em 2015,3,greve no ensino público federal do brasil em 2015
protestos antigovernamentais no brasil em 2015-2016,3,protestos antigovernamentais no brasil em 2015-2016
frente integralista brasileira,3,frente integralista brasileira
grupo território livre,3,grupo território livre
movimentos civis lgbt no brasil,3,movimentos civis lgbt no brasil
mv-brasil,3,mv-brasil
para expressar a liberdade (campanha),3,para expressar a liberdade
