lemma,poscode,surface
Alvarenga,3,Alvarenga
Álvares Florence,3,Álvares Florence
Boa Vista dos Andradas,3,Boa Vista dos Andradas
Álvares Machado,3,Álvares Machado
Coronel Goulart,3,Coronel Goulart
Álvaro de Carvalho,3,Álvaro de Carvalho
Alvinlândia,3,Alvinlândia
Alvinópolis,3,Alvinópolis
Barretos de Alvinópolis,3,Barretos de Alvinópolis
Fonseca,3,Fonseca
Major Ezequiel,3,Major Ezequiel
Alvorada,3,Alvorada
Estância Grande,3,Estância Grande
Alvorada de Minas,3,Alvorada de Minas
Itapanhoacanga,3,Itapanhoacanga
Alvorada do Gurguéia,3,Alvorada do Gurguéia
Alvorada do Norte,3,Alvorada do Norte
Alvorada do Sul,3,Alvorada do Sul
Esperança do Norte,3,Esperança do Norte
Alvorada D'Oeste,3,Alvorada D'Oeste
Tancredópolis,3,Tancredópolis
Terra Boa,3,Terra Boa
Amajari,3,Amajari
Amambai,3,Amambai
Amapá,3,Amapá
Sucuriju,3,Sucuriju
Amapá do Maranhão,3,Amapá do Maranhão
Amaporã,3,Amaporã
Nordestina,3,Nordestina
Amaraji,3,Amaraji
Amaral Ferrador,3,Amaral Ferrador
Amaralina,3,Amaralina
Amarante,3,Amarante
Amarante do Maranhão,3,Amarante do Maranhão
Amargosa,3,Amargosa
Corta Mão,3,Corta Mão
Diógenes Sampaio,3,Diógenes Sampaio
Itachama,3,Itachama
Amaturá,3,Amaturá
Amélia Rodrigues,3,Amélia Rodrigues
Inhatá,3,Inhatá
Mata da Aliança,3,Mata da Aliança
América Dourada,3,América Dourada
Belo Campo,3,Belo Campo
Prevenido,3,Prevenido
Soares,3,Soares
Americana,3,Americana
Americano do Brasil,3,Americano do Brasil
Américo Brasiliense,3,Américo Brasiliense
Américo de Campos,3,Américo de Campos
Ametista do Sul,3,Ametista do Sul
São Valentin da Gruta,3,São Valentin da Gruta
Amontada,3,Amontada
Aracatiara,3,Aracatiara
Garças,3,Garças
Icaraí,3,Icaraí
Lagoa Grande,3,Lagoa Grande
Moitas,3,Moitas
Mosquito,3,Mosquito
Nascente,3,Nascente
Poço Comprido,3,Poço Comprido
Sabiaguaba,3,Sabiaguaba
Amorinópolis,3,Amorinópolis
Amparo,3,Amparo
Arcadas,3,Arcadas
Três Pontes,3,Três Pontes
